time,grid_load,soc
268.0,33.324444444444445,73.078
269.0,33.324444444444445,73.35
270.0,33.324444444444445,73.622
271.0,33.324444444444445,73.893
272.0,33.324444444444445,74.165
273.0,33.324444444444445,74.437
274.0,33.324444444444445,74.708
275.0,33.324444444444445,74.98
276.0,33.324444444444445,75.252
277.0,33.324444444444445,75.523
278.0,33.324444444444445,75.795
279.0,33.324444444444445,76.067
280.0,33.324444444444445,76.338
281.0,33.324444444444445,76.61
282.0,33.324444444444445,76.882
283.0,33.324444444444445,77.153
284.0,33.324444444444445,77.425
285.0,33.324444444444445,77.697
286.0,33.324444444444445,77.968
287.0,33.324444444444445,78.24
288.0,33.324444444444445,78.512
289.0,33.324444444444445,78.783
290.0,33.324444444444445,79.055
291.0,33.324444444444445,79.327
292.0,33.324444444444445,79.598
293.0,33.324444444444445,79.87
294.0,33.324444444444445,80.142
295.0,33.324444444444445,80.413
296.0,33.324444444444445,80.685
297.0,33.324444444444445,80.957
298.0,33.324444444444445,81.228
299.0,33.324444444444445,81.5
300.0,33.324444444444445,81.772
301.0,33.324444444444445,82.043
302.0,33.324444444444445,82.315
303.0,33.324444444444445,82.587
304.0,33.324444444444445,82.858
305.0,33.324444444444445,83.13
306.0,33.324444444444445,83.402
307.0,33.324444444444445,83.673
308.0,33.324444444444445,83.945
309.0,33.324444444444445,84.217
310.0,33.324444444444445,84.488
311.0,33.324444444444445,84.76
312.0,33.324444444444445,85.032
313.0,33.25355561732529,85.303
314.0,32.65156696228243,85.569
315.0,32.06047609949285,85.83
316.0,31.480085746374883,86.087
317.0,30.910202191750706,86.339
318.0,30.35063523119326,86.586
319.0,29.80119810354357,86.829
320.0,29.26170742857734,87.068
321.0,28.731983145799912,87.302
322.0,28.211848454349276,87.532
323.0,27.701129753986923,87.758
324.0,27.199656587157147,87.98
325.0,26.707261582094908,88.197
326.0,26.223780396963935,88.411
327.0,25.749051665005936,88.621
328.0,25.282916940682803,88.827
329.0,24.82522064679379,89.03
330.0,24.375810022550066,89.228
331.0,23.93453507258923,89.423
332.0,23.501248516912842,89.615
333.0,23.075805741730225,89.803
334.0,22.65806475119215,89.988
335.0,22.24788611999827,90.169
336.0,21.845132946862503,90.347
337.0,21.449670808820862,90.522
338.0,21.06136771636637,90.694
339.0,20.680094069396336,90.862
340.0,20.30572261395686,91.028
341.0,19.938128399770616,91.19
342.0,19.57718873853342,91.35
343.0,19.22278316296574,91.507
344.0,18.87479338660555,91.661
345.0,18.533103264328982,91.812
346.0,18.197598753585744,91.96
347.0,17.868167876336237,92.106
348.0,17.54470068167777,92.249
349.0,17.227089209147294,92.389
350.0,16.915227452688544,92.527
351.0,16.609011325271396,92.662
352.0,16.30833862415181,92.795
353.0,16.013108996760558,92.926
354.0,15.723223907209645,93.054
355.0,15.438586603404833,93.18
356.0,15.159102084753716,93.304
357.0,14.884677070458288,93.425
